Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo)
Gentoo penguin (Pygoscelis papua),Biscoe,43.5,14.2,220,4700,FEMALE,8.64931
Gentoo penguin (Pygoscelis papua),Biscoe,50.7,15,223,5550,MALE,8.63551
Gentoo penguin (Pygoscelis papua),Biscoe,47.7,15,216,4750,FEMALE,8.53018
Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.6,221,5000,MALE,8.35078
Gentoo penguin (Pygoscelis papua),Biscoe,48.2,15.6,221,5100,MALE,8.24651
Gentoo penguin (Pygoscelis papua),Biscoe,46.5,14.8,217,5200,FEMALE,8.58487
Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15,216,4700,FEMALE,8.47938
Gentoo penguin (Pygoscelis papua),Biscoe,48.6,16,230,5800,MALE,8.5964
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14.2,209,4600,FEMALE,8.39299
Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.3,220,6000,MALE,8.40327
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,13.8,215,4750,FEMALE,8.24694
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,16.4,223,5950,MALE,8.19749
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,14.5,212,4625,FEMALE,8.35802
Gentoo penguin (Pygoscelis papua),Biscoe,52.5,15.6,221,5450,MALE,8.28601
Gentoo penguin (Pygoscelis papua),Biscoe,47.4,14.6,212,4725,FEMALE,8.19101
Gentoo penguin (Pygoscelis papua),Biscoe,50,15.9,224,5350,MALE,8.20042
Gentoo penguin (Pygoscelis papua),Biscoe,44.9,13.8,212,4750,FEMALE,8.11238
Gentoo penguin (Pygoscelis papua),Biscoe,50.8,17.3,228,5600,MALE,8.27428
Gentoo penguin (Pygoscelis papua),Biscoe,43.4,14.4,218,4600,FEMALE,8.23468
Gentoo penguin (Pygoscelis papua),Biscoe,51.3,14.2,218,5300,MALE,8.15426
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,14,212,4875,FEMALE,8.12691
Gentoo penguin (Pygoscelis papua),Biscoe,52.1,17,230,5550,MALE,8.27595
Gentoo penguin (Pygoscelis papua),Biscoe,47.5,15,218,4950,FEMALE,8.29671
Gentoo penguin (Pygoscelis papua),Biscoe,52.2,17.1,228,5400,MALE,8.36701
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,14.5,212,4750,FEMALE,8.15566
Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.1,224,5650,MALE,8.83352
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.7,214,4850,FEMALE,8.20106
Gentoo penguin (Pygoscelis papua),Biscoe,50.8,15.7,226,5200,MALE,8.27102
Gentoo penguin (Pygoscelis papua),Biscoe,49.4,15.8,216,4925,MALE,8.03624
Gentoo penguin (Pygoscelis papua),Biscoe,46.9,14.6,222,4875,FEMALE,7.8881
Gentoo penguin (Pygoscelis papua),Biscoe,48.4,14.4,203,4625,FEMALE,8.16582
Gentoo penguin (Pygoscelis papua),Biscoe,51.1,16.5,225,5250,MALE,8.2066
Gentoo penguin (Pygoscelis papua),Biscoe,48.5,15,219,4850,FEMALE,8.10231
Gentoo penguin (Pygoscelis papua),Biscoe,55.9,17,228,5600,MALE,8.3118
Gentoo penguin (Pygoscelis papua),Biscoe,47.2,15.5,215,4975,FEMALE,8.30817
Gentoo penguin (Pygoscelis papua),Biscoe,49.1,15,228,5500,MALE,8.65914
Gentoo penguin (Pygoscelis papua),Biscoe,47.3,13.8,216,4725,,8.25818
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,16.1,215,5500,MALE,8.32359
Gentoo penguin (Pygoscelis papua),Biscoe,41.7,14.7,210,4700,FEMALE,8.12311
Gentoo penguin (Pygoscelis papua),Biscoe,53.4,15.8,219,5500,MALE,8.41017
Gentoo penguin (Pygoscelis papua),Biscoe,43.3,14,208,4575,FEMALE,8.4207
Gentoo penguin (Pygoscelis papua),Biscoe,48.1,15.1,209,5500,MALE,8.45738
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.2,216,5000,FEMALE,8.24691
Gentoo penguin (Pygoscelis papua),Biscoe,49.8,15.9,229,5950,MALE,8.29226
Gentoo penguin (Pygoscelis papua),Biscoe,43.5,15.2,213,4650,FEMALE,8.21634
Gentoo penguin (Pygoscelis papua),Biscoe,51.5,16.3,230,5500,MALE,8.78557
Gentoo penguin (Pygoscelis papua),Biscoe,46.2,14.1,217,4375,FEMALE,8.30231
Gentoo penguin (Pygoscelis papua),Biscoe,55.1,16,230,5850,MALE,8.08354
Gentoo penguin (Pygoscelis papua),Biscoe,44.5,15.7,217,4875,.,8.04111
Gentoo penguin (Pygoscelis papua),Biscoe,48.8,16.2,222,6000,MALE,8.33825
Gentoo penguin (Pygoscelis papua),Biscoe,47.2,13.7,214,4925,FEMALE,7.99184
Gentoo penguin (Pygoscelis papua),Biscoe,,,,,,
Gentoo penguin (Pygoscelis papua),Biscoe,46.8,14.3,215,4850,FEMALE,8.41151
Gentoo penguin (Pygoscelis papua),Biscoe,50.4,15.7,222,5750,MALE,8.30166
Gentoo penguin (Pygoscelis papua),Biscoe,45.2,14.8,212,5200,FEMALE,8.24246
Gentoo penguin (Pygoscelis papua),Biscoe,49.9,16.1,213,5400,MALE,8.3639
